<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FB.US,5,20200824,193000,270,270.14,269.711,270.086,79996,0
FB.US,5,20200824,193500,270.079,270.39,270.02,270.09,77224,0
FB.US,5,20200824,194000,270.16,270.17,269.1,269.299,124744,0
FB.US,5,20200824,194500,269.31,269.77,269.24,269.713,103685,0
FB.US,5,20200824,195000,269.64,270.19,269.64,270.07,65002,0
FB.US,5,20200824,195500,270.07,270.325,269.917,270.23,83288,0
FB.US,5,20200824,200000,270.22,270.547,270.03,270.125,109014,0
FB.US,5,20200824,200500,270.171,270.53,270.17,270.217,56992,0
FB.US,5,20200824,201000,270.26,270.42,270.15,270.31,42133,0
FB.US,5,20200824,201500,270.33,270.61,270.16,270.49,91146,0
FB.US,5,20200824,202000,270.48,270.54,269.93,270.095,111878,0
FB.US,5,20200824,202500,270.11,270.31,270.04,270.08,73171,0
FB.US,5,20200824,203000,270.02,270.29,269.65,269.79,78624,0
FB.US,5,20200824,203500,269.79,270.09,269.78,269.96,230921,0
FB.US,5,20200824,204000,269.93,270.03,269.66,269.82,93797,0
FB.US,5,20200824,204500,269.835,270.15,269.76,269.861,61918,0
FB.US,5,20200824,205000,269.87,269.923,269.53,269.62,68730,0
FB.US,5,20200824,205500,269.66,270.09,269.571,269.83,72167,0
FB.US,5,20200824,210000,269.85,270.01,269.64,269.87,66494,0
FB.US,5,20200824,210500,269.9,269.9,268.8,268.945,176168,0
FB.US,5,20200824,211000,268.93,269.68,268.77,269.45,140743,0
FB.US,5,20200824,211500,269.51,269.95,269.46,269.87,103093,0
FB.US,5,20200824,212000,269.85,270.15,269.8,270.04,94628,0
FB.US,5,20200824,212500,270.02,270.27,269.75,270.02,123746,0
FB.US,5,20200824,213000,270.05,270.71,269.975,270.25,269191,0
FB.US,5,20200824,213500,270.26,270.695,270.035,270.65,224631,0
FB.US,5,20200824,214000,270.7,271.03,270.67,270.95,230387,0
FB.US,5,20200824,214500,270.94,270.94,270.14,270.44,311982,0
FB.US,5,20200824,215000,270.44,270.99,270.44,270.764,351544,0
FB.US,5,20200824,215500,270.79,271.55,270.67,271.39,1441584,0
FB.US,5,20200825,153000,272.41,272.45,270.26,272.1,797676,0
